result_rank,as_of_date,backtest_as_of_date,stock_code,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,data_provider,provider_adjustment,liquidity_score,risk_adjusted_momentum,return_acceleration,growth_data_coverage,quality_data_coverage,rank,target_weight,position_value,recommendation,backtest_selected_count,backtest_avg_rank,backtest_avg_weight,backtest_avg_signal_score,backtest_avg_holding_return,backtest_total_contribution,backtesting_score
28,2026-05-26,2026-05-08,300499.SZ,高澜股份,上游-液冷技术,液冷解决方案,高,56.55008497659926,55.50755053414019,72.67857142857144,50.0,50.020641829489875,30.245535714285722,baostock,qfq,84.67352164744939,0.614090265826683,-11.101747044369082,0.0,0.0,20,0.02,2.0,卫星配置,0,,,,,,
29,2026-05-26,2026-05-08,002405.SZ,四维图新,下游-智能驾驶,高精地图,高,55.28221794033594,53.40481655549762,44.39285714285715,50.0,59.77958001342991,73.2514880952381,baostock,qfq,58.20779590048285,-0.24995245609494296,7.720640932206317,0.0,0.0,21,0.02,2.0,卫星配置,0,,,,,,
30,2026-05-26,2026-05-08,300394.SZ,天孚通信,中游-光模块,光器件,高,54.97946201206242,62.441872069435405,73.26785714285714,50.0,42.54627351808625,10.342261904761905,baostock,qfq,82.13240925709792,0.14824252157461915,1.3407957399463806,0.0,0.0,22,0.02,2.0,卫星配置,0,,,,,,
31,2026-05-26,2026-05-08,300474.SZ,景嘉微,中游-芯片,国产GPU,高,53.90895219722111,57.42658221740303,40.714285714285715,60.0,48.997407237731366,55.952380952380956,baostock,qfq,61.791151320729824,-0.17612733968666566,10.8666692051264,0.0,0.0,23,0.02,2.0,卫星配置,0,,,,,,
32,2026-05-26,2026-05-08,600406.SH,国电南瑞,上游-电力设备,电力自动化,中,53.17977890734235,40.70894856757909,43.07142857142857,45.0,69.9771952173469,90.62500000000003,baostock,qfq,46.98441007884951,-0.0690288135956471,-2.0321477139682207,0.0,0.0,25,0.02,2.0,卫星配置,0,,,,,,
33,2026-05-26,2026-05-08,688047.SH,龙芯中科,中游-芯片,国产CPU,高,53.12840464881413,57.290153413520976,65.14285714285714,60.0,40.29195377331395,26.971726190476193,baostock,qfq,64.14366679618858,0.059002172702458874,13.738763415885817,0.0,0.0,26,0.011111111111111112,1.1111111111111112,观察,0,,,,,,
34,2026-05-26,2026-05-08,002527.SZ,新时达,智能机器人,自动化控制,中,52.89767797911938,56.17753356085642,33.0,55.00000000000001,53.526006932139815,63.764880952380956,baostock,qfq,57.62728429196395,-0.3510071793369543,10.758344314948925,0.0,0.0,27,0.011111111111111112,1.1111111111111112,观察,0,,,,,,
35,2026-05-26,2026-05-08,603019.SH,中科曙光,上游-算力基础设施,服务器与存储,高,52.694324081677905,53.22389781868801,44.64285714285714,50.0,53.32833329642868,47.32142857142857,baostock,qfq,71.32916648214339,0.126507420982707,3.216320614611301,0.0,0.0,28,0.011111111111111112,1.1111111111111112,观察,0,,,,,,
36,2026-05-26,2026-05-08,002837.SZ,英维克,上游-液冷技术,精密温控设备,高,52.66617209895875,52.4162166637671,58.535714285714285,50.0,49.126612183428634,33.035714285714285,baostock,qfq,75.32056091714318,-0.041394470905111745,2.7400067908608348,0.0,0.0,29,0.011111111111111112,1.1111111111111112,观察,0,,,,,,
37,2026-05-26,2026-05-08,002236.SZ,大华股份,下游-AI应用,安防AI,高,51.397210285629875,42.391603743222305,35.0,50.0,62.79183247727393,90.32738095238095,baostock,qfq,43.386245719703,-0.18432209386161522,-1.1321550430121359,0.0,0.0,31,0.011111111111111112,1.1111111111111112,观察,0,,,,,,
38,2026-05-26,2026-05-08,002230.SZ,科大讯飞,中游-大模型,智能语音+AI大模型,高,50.83311477340718,40.25928743203228,37.839285714285715,65.0,48.93557139507922,77.23214285714286,baostock,qfq,58.19107121924512,-0.42246165754201365,3.2687541074915822,0.0,0.0,32,0.011111111111111112,1.1111111111111112,观察,0,,,,,,
39,2026-05-26,2026-05-08,300033.SZ,同花顺,下游-AI金融,互联网金融信息,高,50.05430263220139,37.03042074106197,46.25,45.0,62.18682705478126,55.952380952380956,baostock,qfq,72.25072903688454,0.0313603452835761,-5.388967798540774,0.0,0.0,34,0.011111111111111112,1.1111111111111112,观察,0,,,,,,
40,2026-05-26,2026-05-08,000400.SZ,许继电气,上游-电力设备,电力二次设备,中,49.8375994376353,45.679788464823275,29.57142857142857,45.0,63.31217161528771,69.90327380952381,baostock,qfq,52.95186908464111,-0.35268249885812847,6.850341504684088,0.0,0.0,35,0.0,0.0,观察,0,,,,,,
41,2026-05-26,2026-05-08,002920.SZ,德赛西威,下游-智能驾驶,域控制器龙头,高,49.502822974809966,46.40408335326565,39.67857142857143,50.0,54.1307585779208,60.15625000000001,baostock,qfq,52.88035538960399,-0.2903777042396836,5.546193435184073,0.0,0.0,36,0.0,0.0,观察,0,,,,,,
42,2026-05-26,2026-05-08,600089.SH,特变电工,上游-电力设备,变压器,中,48.92496865188639,33.632573672195505,37.767857142857146,45.0,65.61658252713366,70.38690476190476,baostock,qfq,62.58010997181966,-0.23543369872707778,0.32065532247416906,0.0,0.0,37,0.0,0.0,观察,0,,,,,,
43,2026-05-26,2026-05-08,002028.SZ,思源电气,上游-电力设备,输配电设备,中,48.47314389465476,37.98521500807676,45.00000000000001,45.0,60.293530271861975,61.83035714285714,baostock,qfq,53.358376235736245,-0.17306629379788846,-5.1322466118615715,0.0,0.0,38,0.0,0.0,观察,0,,,,,,
44,2026-05-26,2026-05-08,000977.SZ,浪潮信息,上游-算力基础设施,AI服务器,高,48.36163674204131,31.619289476543987,54.285714285714285,50.0,54.797929702764655,51.67410714285714,baostock,qfq,71.05996101382327,0.19752748204510592,-9.762180560674116,0.0,0.0,39,0.0,0.0,观察,0,,,,,,
45,2026-05-26,2026-05-08,600021.SH,上海电力,上游-能源,火电+新能源,中,47.986085475706574,52.814183592624595,28.035714285714285,50.0,50.54779980314987,49.293154761904766,baostock,qfq,53.975978182415986,-0.23307744486574114,6.7073662903209925,0.0,0.0,40,0.0,0.0,观察,0,,,,,,
46,2026-05-26,2026-05-08,300249.SZ,依米康,上游-液冷技术,精密空调,高,46.95554994798882,31.18611476393752,55.000000000000014,50.0,51.88511655748019,42.93154761904763,baostock,qfq,71.7953744540676,-0.03865277602868052,-4.068798175336696,0.0,0.0,41,0.0,0.0,不配置,0,,,,,,
47,2026-05-26,2026-05-08,600050.SH,中国联通,中游-数据平台,运营商+智算中心,中,46.80006234459185,36.820820414834046,26.964285714285715,45.0,60.98281143693703,86.38392857142857,baostock,qfq,41.242182184685134,-0.29383174863654665,1.7915234822451236,0.0,0.0,42,0.0,0.0,不配置,0,,,,,,
48,2026-05-26,2026-05-08,000063.SZ,中兴通讯,上游-算力基础设施,通信设备+AI服务器,高,45.67424544953776,34.19831834930394,36.60714285714286,50.0,53.745401706780825,52.641369047619065,baostock,qfq,64.10461270057075,-0.10573968499660719,-1.5417577622514056,0.0,0.0,44,0.0,0.0,不配置,0,,,,,,
49,2026-05-26,2026-05-08,600570.SH,恒生电子,下游-AI金融,金融科技,高,45.57387915785152,35.55578836396266,26.428571428571427,45.0,62.62320156640932,73.95833333333334,baostock,qfq,42.72383287761808,-0.39569603216631943,1.6900588930781018,0.0,0.0,45,0.0,0.0,不配置,0,,,,,,
50,2026-05-26,2026-05-08,002335.SZ,科华数据,上游-电力设备,UPS+能源管理,中,45.53050549600863,34.294460268016635,48.85714285714286,45.0,53.53630364090238,35.04464285714286,baostock,qfq,69.51870973137446,0.11924299679643445,-8.12948776181467,0.0,0.0,46,0.0,0.0,不配置,0,,,,,,
51,2026-05-26,2026-05-08,601360.SH,三六零,中游-大模型,AI+安全双主线,高,44.06675329071629,31.337402627213443,35.75,65.0,43.580245024738666,68.67559523809524,baostock,qfq,39.694239737949985,-0.33375765241432237,2.4411507255635123,0.0,0.0,48,0.0,0.0,不配置,0,,,,,,
52,2026-05-26,2026-05-08,601877.SH,正泰电器,上游-电力设备,低压电器,中,43.69211225295277,24.756433816947844,38.25,45.0,60.96157844356881,64.99255952380953,baostock,qfq,50.86110466773699,-0.1356459190203957,-5.977346435209922,0.0,0.0,49,0.0,0.0,不配置,0,,,,,,
53,2026-05-26,2026-05-08,688111.SH,金山办公,下游-AI办公,办公软件,高,41.9799538430632,31.2565563949785,26.125000000000004,50.0,52.385325708568885,56.47321428571429,baostock,qfq,50.59850354284441,-0.3887653220871418,3.9461114534542703,0.0,0.0,52,0.0,0.0,不配置,0,,,,,,
54,2026-05-26,2026-05-08,300624.SZ,万兴科技,下游-AI办公,数字创意软件,高,37.23754715467567,24.320093339561414,29.66071428571429,50.0,45.079242922377695,30.84077380952381,baostock,qfq,58.924860445221825,-0.35937351888674807,-2.4703898177197754,0.0,0.0,53,0.0,0.0,不配置,0,,,,,,
55,2026-05-26,2026-05-08,300364.SZ,中文在线,中游-大模型,AI语料库,高,36.79364561744324,15.194346265548793,47.589285714285715,65.0,33.7809337081299,16.96428571428572,baostock,qfq,68.9433356758119,-0.22323949529256046,-7.177179237396325,0.0,0.0,54,0.0,0.0,不配置,0,,,,,,
56,2026-05-26,2026-05-08,002602.SZ,世纪华通,中游-数据平台,IDC+游戏,中,34.462160490392804,14.88732379261361,22.678571428571427,45.0,50.068372391481844,52.715773809523824,baostock,qfq,45.58925779074253,-0.6267012345693669,-7.4733495367146325,0.0,0.0,55,0.0,0.0,不配置,0,,,,,,
