,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,rank,target_weight,position_value,shares,recommendation
002236.SZ,大华股份,下游-AI应用,安防AI,高,36.461213452027884,45.562030712624704,42.6422060403938,59.60118338520188,56.03238570443227,-45.74205837400635,29,0.0,0.0,0,观察
002335.SZ,科华数据,上游-电力设备,UPS+能源管理,中,36.1594356653963,49.54466472887784,33.58645962857079,60.87965985094213,67.21091377594111,-54.85463340574884,30,0.0,0.0,0,观察
603881.SH,数据港,中游-数据平台,IDC运营,高,35.7810464796455,47.970221313669654,42.6422060403938,56.29114025244402,56.03238570443227,-50.64496450791499,31,0.0,0.0,0,观察
300502.SZ,新易盛,中游-光模块,光模块,高,35.73227910222853,41.98278430622194,51.697952452216825,57.72867943734606,56.03238570443227,-58.320691520723265,32,0.0,0.0,0,观察
002405.SZ,四维图新,下游-智能驾驶,高精地图,高,34.85815725223272,59.16793606548124,51.697952452216825,41.729299557072466,35.848968941648955,-48.73145147829747,33,0.0,0.0,0,观察
688041.SH,海光信息,中游-芯片,CPU+DCU,高,34.558434819794876,47.993105720213336,60.753698864039826,36.22687134647205,44.85385763292345,-51.591411018282926,34,0.0,0.0,0,观察
601877.SH,正泰电器,上游-电力设备,低压电器,中,34.43076154221501,39.38427272495331,33.58645962857079,64.21937152353566,67.21091377594111,-53.35266357194169,35,0.0,0.0,0,观察
688008.SH,澜起科技,中游-芯片,内存接口芯片,高,34.2208361179275,41.4298226945844,60.753698864039826,46.77660814456184,44.85385763292345,-55.84662936911366,36,0.0,0.0,0,观察
002747.SZ,埃斯顿,智能机器人,工业机器人,高,33.36867519509939,49.73062636460685,60.753698864039826,18.558427824899027,50.443121668677854,-47.66203586361511,37,0.0,0.0,0,观察
002281.SZ,光迅科技,中游-光模块,光器件,高,33.07249799154033,52.99077420738389,51.697952452216825,41.162051777602315,35.848968941648955,-49.72619573446478,38,0.0,0.0,0,观察
600570.SH,恒生电子,下游-AI金融,金融科技,高,32.38537708310406,46.89780721255518,42.6422060403938,45.8994376692436,45.00915533687946,-45.45123550882383,39,0.0,0.0,0,观察
600845.SH,宝信软件,中游-数据平台,IDC运营,中,32.13579808957613,51.28456640133731,42.6422060403938,48.013262354175,35.848968941648955,-46.00783324360683,40,0.0,0.0,0,观察
603019.SH,中科曙光,上游-算力基础设施,服务器与存储,高,31.914777782088223,38.149155125828386,42.6422060403938,54.016708788351465,56.03238570443227,-57.799282272631395,41,0.0,0.0,0,不配置
600089.SH,特变电工,上游-电力设备,变压器,中,30.859635649104465,49.92882571422076,33.58645962857079,49.223560531179054,45.00915533687946,-49.86481816317109,42,0.0,0.0,0,不配置
000400.SZ,许继电气,上游-电力设备,电力二次设备,中,29.787963934014357,43.49223956355939,33.58645962857079,48.98241663210384,45.00915533687946,-45.71567013167987,43,0.0,0.0,0,不配置
000977.SZ,浪潮信息,上游-算力基础设施,AI服务器,高,29.533802688351816,47.245600172296456,42.6422060403938,41.61949598840074,35.848968941648955,-49.16051823021212,44,0.0,0.0,0,不配置
600406.SH,国电南瑞,上游-电力设备,电力自动化,中,29.158466225525537,40.1802310938368,33.58645962857079,48.75500877791267,45.00915533687946,-44.005399969563896,45,0.0,0.0,0,不配置
688256.SH,寒武纪-U,中游-芯片,AI芯片设计,高,28.54824669192498,49.6949323362048,60.753698864039826,16.64758270231382,26.68878254641846,-49.03183466362847,46,0.0,0.0,0,不配置
002415.SZ,海康威视,下游-AI应用,安防+AI,高,28.329990653522493,39.92478432692043,42.6422060403938,42.85955559598684,35.848968941648955,-46.28065253628931,47,0.0,0.0,0,不配置
000063.SZ,中兴通讯,上游-算力基础设施,通信设备+AI服务器,高,25.859616295306285,39.56291542653676,42.6422060403938,42.63613289062005,35.848968941648955,-62.99273143739123,48,0.0,0.0,0,不配置
